"Problem Instance","Seed","Run result line of validation config #1"
"vc-test/test-instances/000900_000000005400.input.dimacs","-1","SAT, 0.92, 0.0, 0.0, -1"
"vc-test/test-instances/000900_000000009000.input.dimacs","-1","SAT, 2.12, 0.0, 0.0, -1"
"vc-test/test-instances/001000_000000003000.input.dimacs","-1","SAT, 1.5, 0.0, 0.0, -1"
"vc-test/test-instances/add32.graph.dimacs","-1","SAT, 0.24, 0.0, 0.0, -1"
"vc-test/test-instances/adjnoun.graph.dimacs","-1","SAT, 0.25, 0.0, 0.0, -1"
"vc-test/test-instances/ca-AstroPh.txt.dimacs","-1","SAT, 40.13, 0.0, 0.0, -1"
"vc-test/test-instances/ca-CondMat.txt.dimacs","-1","SAT, 7.36, 0.0, 0.0, -1"
"vc-test/test-instances/ca-HepTh.txt.dimacs","-1","SAT, 1.63, 0.0, 0.0, -1"
"vc-test/test-instances/celegans_metabolic.graph.dimacs","-1","SAT, 0.2, 0.0, 0.0, -1"
"vc-test/test-instances/cond-mat-2005.graph.dimacs","-1","SAT, 25.13, 0.0, 0.0, -1"
"vc-test/test-instances/crack.graph.dimacs","-1","SAT, 32.33, 0.0, 0.0, -1"
"vc-test/test-instances/email-Eu-core.txt.dimacs","-1","SAT, 0.85, 0.0, 0.0, -1"
"vc-test/test-instances/fe_ocean.graph.dimacs","-1","TIMEOUT, 0.0, 0.0, 0.0, -1"
"vc-test/test-instances/karate.graph.dimacs","-1","SAT, 0.12, 0.0, 0.0, -1"
"vc-test/test-instances/memplus.graph.dimacs","-1","SAT, 1.83, 0.0, 0.0, -1"
"vc-test/test-instances/netscience.graph.dimacs","-1","SAT, 0.51, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella04.txt.dimacs","-1","SAT, 0.61, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella06.txt.dimacs","-1","SAT, 0.46, 0.0, 0.0, -1"
"vc-test/test-instances/p2p-Gnutella08.txt.dimacs","-1","SAT, 0.35, 0.0, 0.0, -1"
"vc-test/test-instances/power.graph.dimacs","-1","SAT, 0.23, 0.0, 0.0, -1"
"vc-test/test-instances/soc-Epinions1.txt.dimacs","-1","SAT, 26.43, 0.0, 0.0, -1"
"vc-test/test-instances/soc-Slashdot0902.txt.dimacs","-1","SAT, 37.45, 0.0, 0.0, -1"
"vc-test/test-instances/soc-sign-Slashdot090221.txt.dimacs","-1","SAT, 61.84, 0.0, 0.0, -1"
