file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,1.66s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,6.31s,872,0,493,0,733,0,733,120,0,0,1,1,correct
random/001000_000000010000.input,2.80s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.09s,34,0,13,0,14,0,13,12,3,0,1,1,correct
dimacs/chesapeake.graph.dimacs,0.21s,22,0,8,1,27,0,25,0,3,3,2,1,correct
dimacs/football.graph.dimacs,79.82s,94,0,67,0,38512,0,35653,7938,9868,795,2287,1,correct
dimacs/jazz.graph.dimacs,0.12s,158,0,99,0,12,0,12,28,100,0,1,1,correct
dimacs/email.graph.dimacs,0.21s,594,0,297,0,299,0,296,199,29,0,1,1,correct
dimacs/add20.graph.dimacs,0.51s,1265,0,787,0,849,0,834,215,0,0,1,1,correct
dimacs/polblogs.graph.dimacs,0.35s,560,0,210,0,425,0,420,105,0,0,1,1,correct
dimacs/as-22july06.graph.dimacs,2.60s,3303,0,13,0,3286,0,3283,12,0,0,1,1,correct
dimacs/cond-mat.graph.dimacs,17.40s,9436,0,6479,0,3960,0,3873,2127,1341,0,2,1,correct
dimacs/astro-ph.graph.dimacs,35.89s,10230,0,8235,0,3012,0,2929,2434,2511,0,2,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.30s,1052,0,4,0,1044,0,1044,4,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,0.81s,2783,0,1366,0,1582,0,1563,447,303,0,2,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.48s,2574,0,7,0,2563,0,2563,10,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.43s,3428,0,0,0,3427,0,3427,1,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.35s,6017,0,1,0,6013,0,6013,4,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,9.03s,7012,0,4558,0,3187,0,3119,1185,1529,0,2,1,correct
snap/email-Enron.txt.dimacs,71.62s,14437,0,8805,0,7613,0,7437,2983,1122,0,5,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,54.92s,19614,0,116,0,19503,0,19499,64,2,0,1,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,61.83s,21305,0,157,0,21168,0,21160,80,3,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,33.35s,24046,0,517,0,23570,0,23535,249,16,0,2,1,correct
snap/soc-sign-epinions.txt.dimacs,125.06s,28184,0,453,0,27823,0,27800,201,24,0,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
