file,time_in_seconds,solution_size,recursive_steps,finished,solution_size_verified
random/000002_000000000002.input,0.12s,0,,1,correct
random/000002_000000000006.input,0.12s,1,1,1,correct
random/000002_000000000012.input,0.12s,2,1,1,correct
random/000002_000000000020.input,0.12s,2,1,1,correct
random/000004_000000000004.input,0.13s,0,,1,correct
random/000004_000000000012.input,0.12s,4,1,1,correct
random/000004_000000000024.input,0.12s,4,1,1,correct
random/000004_000000000040.input,0.13s,4,1,1,correct
random/000006_000000000007.input,0.12s,1,1,1,correct
random/000006_000000000018.input,0.12s,4,1,1,correct
random/000006_000000000036.input,0.12s,4,1,1,correct
random/000006_000000000060.input,0.13s,5,1,1,correct
random/000008_000000000009.input,0.12s,1,1,1,correct
random/000008_000000000024.input,0.12s,5,1,1,correct
random/000008_000000000048.input,0.12s,7,1,1,correct
random/000008_000000000080.input,0.13s,7,1,1,correct
random/000010_000000000012.input,0.12s,2,1,1,correct
random/000010_000000000030.input,0.12s,8,1,1,correct
random/000010_000000000060.input,0.12s,10,1,1,correct
random/000010_000000000100.input,0.13s,10,1,1,correct
random/000012_000000000014.input,0.12s,1,1,1,correct
random/000012_000000000036.input,0.12s,10,1,1,correct
random/000012_000000000072.input,0.12s,11,1,1,correct
random/000012_000000000120.input,0.12s,11,1,1,correct
random/000014_000000000016.input,0.12s,2,1,1,correct
random/000014_000000000042.input,0.12s,8,1,1,correct
random/000014_000000000084.input,0.12s,13,1,1,correct
random/000014_000000000140.input,0.12s,13,1,1,correct
random/000016_000000000019.input,0.12s,1,1,1,correct
random/000016_000000000048.input,0.12s,11,1,1,correct
random/000016_000000000096.input,0.12s,15,1,1,correct
random/000016_000000000160.input,0.12s,15,1,1,correct
random/000018_000000000021.input,0.12s,2,1,1,correct
random/000018_000000000054.input,0.12s,11,1,1,correct
random/000018_000000000108.input,0.13s,15,1,1,correct
random/000018_000000000180.input,0.12s,17,1,1,correct
random/000020_000000000024.input,0.12s,2,1,1,correct
random/000020_000000000060.input,0.22s,15,1,1,correct
random/000020_000000000120.input,0.12s,18,1,1,correct
random/000020_000000000200.input,0.12s,18,1,1,correct
random/000022_000000000026.input,0.12s,3,1,1,correct
random/000022_000000000066.input,0.12s,15,1,1,correct
random/000022_000000000132.input,0.12s,19,1,1,correct
random/000022_000000000220.input,0.12s,20,1,1,correct
random/000024_000000000028.input,0.12s,4,1,1,correct
random/000024_000000000072.input,0.12s,12,1,1,correct
