file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000002_000000000002.input,0.03s,0,0,0,0,0,0,0,0,0,0,1,correct
random/000002_000000000006.input,0.03s,1,0,0,0,1,0,1,0,0,0,1,correct
random/000002_000000000012.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000002_000000000020.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000004_000000000004.input,0.03s,0,0,0,0,0,0,0,0,0,0,1,correct
random/000004_000000000012.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000004_000000000024.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000004_000000000040.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000006_000000000007.input,0.04s,1,0,0,0,1,0,1,0,0,0,1,correct
random/000006_000000000018.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000006_000000000036.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000006_000000000060.input,0.03s,5,0,0,0,1,0,1,0,0,0,1,correct
random/000008_000000000009.input,0.03s,1,0,0,0,1,0,1,0,0,0,1,correct
random/000008_000000000024.input,0.03s,5,0,0,0,1,0,1,0,0,0,1,correct
random/000008_000000000048.input,0.04s,7,0,0,0,1,0,1,0,0,0,1,correct
random/000008_000000000080.input,0.04s,7,0,0,0,1,0,1,0,0,0,1,correct
random/000010_000000000012.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000010_000000000030.input,0.03s,8,0,0,0,1,0,1,0,0,0,1,correct
random/000010_000000000060.input,0.03s,10,0,0,0,1,0,1,0,0,0,1,correct
random/000010_000000000100.input,0.03s,10,0,0,0,1,0,1,0,0,0,1,correct
random/000012_000000000014.input,0.03s,1,0,0,0,1,0,1,0,0,0,1,correct
random/000012_000000000036.input,0.03s,10,0,0,0,1,0,1,0,0,0,1,correct
random/000012_000000000072.input,0.03s,11,0,0,0,1,0,1,0,0,0,1,correct
random/000012_000000000120.input,0.03s,11,0,0,0,1,0,1,0,0,0,1,correct
random/000014_000000000016.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000014_000000000042.input,0.03s,8,0,0,0,1,0,1,0,0,0,1,correct
random/000014_000000000084.input,0.04s,13,0,0,0,1,0,1,0,0,0,1,correct
random/000014_000000000140.input,0.03s,13,0,0,0,1,0,1,0,0,0,1,correct
random/000016_000000000019.input,0.03s,1,0,0,0,1,0,1,0,0,0,1,correct
random/000016_000000000048.input,0.03s,11,0,0,0,1,0,1,0,0,0,1,correct
random/000016_000000000096.input,0.03s,15,0,0,0,1,0,1,0,0,0,1,correct
random/000016_000000000160.input,0.04s,15,0,0,0,1,0,1,0,0,0,1,correct
random/000018_000000000021.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000018_000000000054.input,0.03s,11,0,0,0,1,0,1,0,0,0,1,correct
random/000018_000000000108.input,0.03s,15,0,0,0,1,0,1,0,0,0,1,correct
random/000018_000000000180.input,0.03s,17,0,0,0,1,0,1,0,0,0,1,correct
random/000020_000000000024.input,0.03s,2,0,0,0,1,0,1,0,0,0,1,correct
random/000020_000000000060.input,0.04s,15,0,0,0,1,0,1,0,0,0,1,correct
random/000020_000000000120.input,0.03s,18,0,0,0,1,0,1,0,0,0,1,correct
random/000020_000000000200.input,0.04s,18,0,0,0,1,0,1,0,0,0,1,correct
random/000022_000000000026.input,0.03s,3,0,0,0,1,0,1,0,0,0,1,correct
random/000022_000000000066.input,0.04s,15,0,0,0,1,0,1,0,0,0,1,correct
random/000022_000000000132.input,0.03s,19,0,0,0,1,0,1,0,0,0,1,correct
random/000022_000000000220.input,0.03s,20,0,0,0,1,0,1,0,0,0,1,correct
random/000024_000000000028.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000024_000000000072.input,0.03s,12,0,0,0,1,0,1,0,0,0,1,correct
random/000024_000000000144.input,0.03s,22,0,0,0,1,0,1,0,0,0,1,correct
random/000024_000000000240.input,0.03s,22,0,0,0,1,0,1,0,0,0,1,correct
random/000026_000000000031.input,0.04s,5,0,0,0,1,0,1,0,0,0,1,correct
random/000026_000000000078.input,0.03s,20,0,0,0,1,0,1,0,0,0,1,correct
random/000026_000000000156.input,0.03s,23,0,0,0,1,0,1,0,0,0,1,correct
random/000026_000000000260.input,0.03s,25,0,0,0,1,0,1,0,0,0,1,correct
random/000028_000000000033.input,0.03s,4,0,0,0,1,0,1,0,0,0,1,correct
random/000028_000000000084.input,0.03s,20,0,0,0,1,0,1,0,0,0,1,correct
random/000028_000000000168.input,0.04s,26,0,0,0,1,0,1,0,0,0,1,correct
random/000028_000000000280.input,0.03s,22,0,0,0,1,0,1,0,0,0,1,correct
random/000030_000000000036.input,0.03s,5,0,0,0,1,0,1,0,0,0,1,correct
random/000030_000000000090.input,0.03s,21,0,0,0,1,0,1,0,0,0,1,correct
random/000030_000000000180.input,0.04s,27,0,0,0,1,0,1,0,0,0,1,correct
random/000030_000000000300.input,0.03s,25,0,0,0,1,0,1,0,0,0,1,correct
random/000035_000000000042.input,0.03s,6,0,0,0,1,0,1,0,0,0,1,correct
random/000035_000000000105.input,0.04s,26,0,0,0,1,0,1,0,0,0,1,correct
random/000035_000000000210.input,0.03s,26,0,0,0,1,0,1,0,0,0,1,correct
random/000035_000000000350.input,0.03s,34,0,0,0,1,0,1,0,0,0,1,correct
random/000040_000000000048.input,0.03s,7,0,0,0,1,0,1,0,0,0,1,correct
random/000040_000000000120.input,0.03s,30,0,0,0,2,0,2,0,0,0,1,correct
random/000040_000000000240.input,0.03s,35,0,0,0,2,0,2,0,0,0,1,correct
random/000040_000000000400.input,0.04s,36,0,0,0,2,0,2,0,0,0,1,correct
random/000045_000000000054.input,0.03s,6,0,0,0,1,0,1,0,0,0,1,correct
random/000045_000000000135.input,0.03s,32,0,0,0,2,0,2,0,0,0,1,correct
random/000045_000000000270.input,0.03s,39,0,0,0,2,0,2,0,0,0,1,correct
random/000045_000000000450.input,0.03s,40,0,0,0,2,0,2,0,0,0,1,correct
random/000050_000000000060.input,0.03s,9,0,0,0,1,0,1,0,0,0,1,correct
random/000050_000000000150.input,0.03s,42,0,0,0,2,0,2,0,0,0,1,correct
random/000050_000000000300.input,0.03s,46,0,0,0,2,0,2,0,0,0,1,correct
random/000050_000000000500.input,0.03s,47,0,0,0,2,0,2,0,0,0,1,correct
random/000055_000000000066.input,0.03s,8,0,0,0,1,0,1,0,0,0,1,correct
random/000055_000000000165.input,0.03s,39,0,0,0,1,0,1,0,0,0,1,correct
random/000055_000000000330.input,0.03s,48,0,0,0,2,0,2,0,0,0,1,correct
random/000055_000000000550.input,0.03s,49,0,0,0,1,0,1,0,0,0,1,correct
random/000060_000000000072.input,0.03s,10,0,0,0,1,0,1,0,0,0,1,correct
random/000060_000000000180.input,0.03s,43,0,0,0,2,0,2,0,0,0,1,correct
random/000060_000000000360.input,0.03s,50,0,0,0,2,0,2,0,0,0,1,correct
random/000060_000000000600.input,0.04s,53,0,0,0,2,0,2,0,0,0,1,correct
random/000065_000000000078.input,0.03s,11,0,0,0,1,0,1,0,0,0,1,correct
random/000065_000000000195.input,0.03s,49,0,0,0,2,0,2,0,0,0,1,correct
random/000065_000000000390.input,0.03s,59,0,0,0,2,0,2,0,0,0,1,correct
random/000065_000000000650.input,0.04s,63,0,0,0,2,0,2,0,0,0,1,correct
random/000070_000000000084.input,0.03s,12,0,0,0,1,0,1,0,0,0,1,correct
random/000070_000000000210.input,0.03s,56,0,0,0,2,0,2,0,0,0,1,correct
random/000070_000000000420.input,0.03s,60,0,0,0,2,0,2,0,0,0,1,correct
random/000070_000000000700.input,0.04s,67,0,0,0,2,0,2,0,0,0,1,correct
random/000075_000000000090.input,0.04s,13,0,0,0,1,0,1,0,0,0,1,correct
random/000075_000000000225.input,0.03s,58,0,0,0,3,0,3,0,0,0,1,correct
random/000075_000000000450.input,0.03s,68,0,0,0,2,0,2,0,0,0,1,correct
random/000075_000000000750.input,0.04s,70,0,0,0,2,0,2,0,0,0,1,correct
random/000080_000000000096.input,0.03s,13,0,0,0,1,0,1,0,0,0,1,correct
random/000080_000000000240.input,0.03s,62,0,0,0,2,0,2,0,0,0,1,correct
random/000080_000000000480.input,0.03s,73,0,0,0,2,0,2,0,0,0,1,correct
random/000080_000000000800.input,0.04s,77,0,0,0,2,0,2,0,0,0,1,correct
random/000085_000000000102.input,0.03s,16,0,0,0,1,0,1,0,0,0,1,correct
random/000085_000000000255.input,0.03s,66,0,0,0,2,0,2,0,0,0,1,correct
random/000085_000000000510.input,0.03s,76,0,0,0,2,0,2,0,0,0,1,correct
random/000085_000000000850.input,0.05s,82,0,0,0,2,0,2,0,0,0,1,correct
random/000090_000000000108.input,0.03s,17,0,0,0,2,0,2,0,0,0,1,correct
random/000090_000000000270.input,0.03s,70,0,0,0,3,0,3,0,0,0,1,correct
random/000090_000000000540.input,0.04s,78,0,0,0,2,0,2,0,0,0,1,correct
random/000090_000000000900.input,0.05s,85,0,0,0,2,0,2,0,0,0,1,correct
random/000095_000000000114.input,0.03s,18,0,0,0,2,0,2,0,0,0,1,correct
random/000095_000000000285.input,0.03s,78,0,0,0,3,0,3,0,0,0,1,correct
random/000095_000000000570.input,0.04s,86,0,0,0,2,0,2,0,0,0,1,correct
random/000095_000000000950.input,0.04s,87,0,0,0,2,0,2,0,0,0,1,correct
random/000100_000000000120.input,0.03s,20,0,0,0,2,0,2,0,0,0,1,correct
random/000100_000000000300.input,0.03s,86,0,0,0,3,0,3,0,0,0,1,correct
random/000100_000000000600.input,0.04s,95,0,0,0,3,0,3,0,0,0,1,correct
random/000100_000000001000.input,0.04s,96,0,0,0,2,0,2,0,0,0,1,correct
random/000200_000000000240.input,0.04s,38,0,0,0,2,0,2,0,0,0,1,correct
random/000200_000000000600.input,0.04s,178,0,0,0,6,0,6,0,0,0,1,correct
random/000200_000000001200.input,0.05s,194,0,0,0,3,0,3,0,0,0,1,correct
random/000200_000000002000.input,0.09s,197,0,0,0,3,0,3,0,0,0,1,correct
random/000300_000000000360.input,0.03s,58,0,0,0,2,0,2,0,0,0,1,correct
random/000300_000000000900.input,0.05s,283,0,0,0,6,0,6,0,0,0,1,correct
random/000300_000000001800.input,0.10s,296,0,0,0,3,0,3,0,0,0,1,correct
random/000300_000000003000.input,0.16s,296,0,0,0,3,0,3,0,0,0,1,correct
random/000400_000000000480.input,0.03s,78,0,0,0,3,0,3,0,0,0,1,correct
random/000400_000000001200.input,0.06s,382,0,0,0,7,0,7,0,0,0,1,correct
random/000400_000000002400.input,0.15s,392,0,0,0,3,0,3,0,0,0,1,correct
random/000400_000000004000.input,0.30s,396,0,0,0,3,0,3,0,0,0,1,correct
random/000500_000000000600.input,0.04s,100,0,0,0,3,0,3,0,0,0,1,correct
random/000500_000000001500.input,0.09s,478,0,0,0,7,0,7,0,0,0,1,correct
random/000500_000000003000.input,0.24s,498,0,0,0,4,0,4,0,0,0,1,correct
random/000500_000000005000.input,0.49s,498,0,0,0,3,0,3,0,0,0,1,correct
random/000600_000000000720.input,0.04s,119,0,0,0,3,0,3,0,0,0,1,correct
random/000600_000000001800.input,0.11s,582,0,0,0,10,0,10,0,0,0,1,correct
random/000600_000000003600.input,0.33s,593,0,0,0,4,0,4,0,0,0,1,correct
random/000600_000000006000.input,0.76s,595,0,0,0,3,0,3,0,0,0,1,correct
random/000700_000000000840.input,0.04s,140,0,0,0,3,0,3,0,0,0,1,correct
random/000700_000000002100.input,0.16s,681,0,0,0,19,0,19,0,0,0,1,correct
