file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.82s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,15.41s,872,12,376,5,622,0,622,231,0,0,1,1,correct
random/001000_000000010000.input,3.32s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.21s,34,2,3,1,14,0,14,11,0,0,1,1,correct
dimacs/chesapeake.graph.dimacs,0.17s,22,1,8,3,5,0,3,10,0,0,1,1,correct
dimacs/football.graph.dimacs,
dimacs/jazz.graph.dimacs,
dimacs/email.graph.dimacs,8.07s,594,489,96,66,1540,93,1277,2313,0,0,26,1,correct
dimacs/add20.graph.dimacs,0.29s,1265,2,0,0,847,0,832,216,0,0,1,1,correct
dimacs/polblogs.graph.dimacs,0.31s,560,0,0,0,425,0,420,105,0,0,0,1,correct
dimacs/as-22july06.graph.dimacs,4.87s,3303,0,0,0,3286,0,3283,12,0,0,0,1,correct
dimacs/cond-mat.graph.dimacs,
dimacs/astro-ph.graph.dimacs,
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.51s,1052,0,0,0,1044,0,1044,4,0,0,0,1,correct
snap/ca-GrQc.txt.dimacs,58.50s,2783,322,493,0,1572,0,1551,458,0,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.44s,2574,0,0,0,2563,0,2563,10,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.76s,3428,0,0,0,3427,0,3427,1,0,0,0,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.51s,6017,0,0,0,6013,0,6013,4,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,74.62s,19614,3,1,0,19503,0,19499,64,0,0,1,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,67.85s,21305,3,1,0,21168,0,21159,81,0,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,49.93s,24046,21,37,0,23567,0,23532,252,0,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,179.74s,28184,25,54,0,27815,0,27789,211,0,0,1,1,correct
snap/loc-gowalla_edges.txt.dimacs,
